title,detail,instit,code,grade,location,topic,ddl,status
E T Consultant - Communication Specialist,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21398&site=1,World Bank,req21398,EC2,"Washington, DC,United States",Health/Nutrition/Population,3/7/2023,
Finance Analyst,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21393&site=1,IFC,req21393,GE,"Washington, DC,United States",Budget,3/7/2023,
Global Recruitment Team Lead (Senior HR Officer II),https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21403&site=1,IFC,req21403,GG,"Washington, DC,United States",Human Resources,3/7/2023,
Senior Environmental Specialist,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21323&site=1,World Bank,req21323,GG,"Washington, DC,United States",Environment,3/8/2023,not interested
Senior Economist,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21443&site=1,World Bank,req21443,GG,"Washington, DC,United States",Economics,3/9/2023,not interested
"Senior HR Specialist, Talent Attraction",https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21354&site=1,World Bank,req21354,GG,"Washington, DC,United States",Human Resources,3/9/2023,not interested
E T Consultant,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21509&site=1,World Bank,req21509,EC2,"Washington, DC,United States",Poverty Reduction,3/9/2023,
"HR Analyst, Client Services",https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21433&site=1,World Bank,req21433,GE,"Washington, DC,United States",Human Resources,3/9/2023,
"HR Specialist, Talent Attraction",https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21353&site=1,World Bank,req21353,GF,"Washington, DC,United States",Human Resources,3/9/2023,
Program Assistant,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21392&site=1,IFC,req21392,GC,"Washington, DC,United States",Other,3/9/2023,
Communications Officer,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21368&site=1,IFC,req21368,GF,"Washington, DC,United States",Communications,3/10/2023,not interested
E T Consultant - Business Process Lead Developer,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21283&site=1,IFC,req21283,EC2,"Washington, DC,United States",Information Technology,3/10/2023,
E T Consultant - Lead Developer (Cloud),https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21282&site=1,IFC,req21282,EC2,"Washington, DC,United States",Information Technology,3/10/2023,
"E T Consultant, FCV",https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21413&site=1,World Bank,req21413,EC2,"Washington, DC,United States",Communications,3/10/2023,
Head,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21327&site=1,World Bank,req21327,GH,"Washington, DC,United States",Infrastructure,3/10/2023,
Senior External Affairs Officer,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21141&site=1,World Bank,req21141,GG,"Washington, DC,United States",External Affairs & Corporate Relations,3/11/2023,not interested
Communications Officer - HR Communications,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21482&site=1,IFC,req21482,GG,"Washington, DC,United States",Communications,3/12/2023,
E T Consultant,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21452&site=1,World Bank,req21452,EC1,"Washington, DC,United States",Economics,3/12/2023,
WBG Chief Ethics Officer,https://worldbankgroup.csod.com/ats/careersite/JobDetails.aspx?id=21397&site=1,World Bank,req21397,GI,"Washington, DC,United States",Ethics & Internal Justice Systems,3/12/2023,
